asin,brand_grouped_50,quarter,q_jt,price_mean,price_sd,n_hh,joint_pc1,joint_pc2,joint_pc3,joint_pc4,joint_pc5,text_only_embed
B01BI9K02Y,Sensodyne,2020Q4,2,5.71674299609326,0,2,-0.751904100599608,0.558130432538746,-0.548613173302597,-1.02036760799572,-0.643169516269415,1
B01BI9K02Y,Sensodyne,2021Q2,3,5.18517486957787,0.0199302625118847,2,-0.751904100599608,0.558130432538746,-0.548613173302597,-1.02036760799572,-0.643169516269415,1
B01BI9K02Y,Sensodyne,2021Q3,3,4.83807030062356,0.0280934398885844,2,-0.751904100599608,0.558130432538746,-0.548613173302597,-1.02036760799572,-0.643169516269415,1
B0762LYF5D,Sensodyne,2018Q3,1,14.5655076095836,,1,-0.877893351880115,0.979273798343349,-1.99225790096075,-2.21438766557444,-1.22539540930173,0
B0762LYF5D,Sensodyne,2018Q4,1,16.1559673935404,,1,-0.877893351880115,0.979273798343349,-1.99225790096075,-2.21438766557444,-1.22539540930173,0
B0762LYF5D,Sensodyne,2019Q3,1,14.3948577153213,,1,-0.877893351880115,0.979273798343349,-1.99225790096075,-2.21438766557444,-1.22539540930173,0
B0762LYF5D,Sensodyne,2020Q3,1,14.8726658202762,,1,-0.877893351880115,0.979273798343349,-1.99225790096075,-2.21438766557444,-1.22539540930173,0
B0762LYF5D,Sensodyne,2020Q4,1,14.65049093369,,1,-0.877893351880115,0.979273798343349,-1.99225790096075,-2.21438766557444,-1.22539540930173,0
B0762LYF5D,Sensodyne,2021Q2,1,13.8044992405063,,1,-0.877893351880115,0.979273798343349,-1.99225790096075,-2.21438766557444,-1.22539540930173,0
B0762LYF5D,Sensodyne,2021Q3,3,12.6733114555182,0,3,-0.877893351880115,0.979273798343349,-1.99225790096075,-2.21438766557444,-1.22539540930173,0
B0762LYF5D,Sensodyne,2021Q4,10,12.2161835291885,0.577855989108193,10,-0.877893351880115,0.979273798343349,-1.99225790096075,-2.21438766557444,-1.22539540930173,0
B0762LYF5D,Sensodyne,2022Q1,7,13.659006621123,0.160157429881696,6,-0.877893351880115,0.979273798343349,-1.99225790096075,-2.21438766557444,-1.22539540930173,0
B0762LYF5D,Sensodyne,2022Q2,2,13.5560687095869,0.123356796096598,2,-0.877893351880115,0.979273798343349,-1.99225790096075,-2.21438766557444,-1.22539540930173,0
B0762LYF5D,Sensodyne,2022Q3,2,13.4412081850351,0.0476053414507833,2,-0.877893351880115,0.979273798343349,-1.99225790096075,-2.21438766557444,-1.22539540930173,0
B0762LYF5D,Sensodyne,2022Q4,4,14.5968177560619,0.0178445055220502,4,-0.877893351880115,0.979273798343349,-1.99225790096075,-2.21438766557444,-1.22539540930173,0
B078HQ48JX,Sensodyne,2019Q3,1,5.74521421050579,,1,-1.44660899733101,0.516216127743853,-2.26791351002276,-2.21969056693497,-0.950702855956099,0
B078HQ48JX,Sensodyne,2020Q1,2,5.50452862054955,0.0158189193801395,2,-1.44660899733101,0.516216127743853,-2.26791351002276,-2.21969056693497,-0.950702855956099,0
B078HQ48JX,Sensodyne,2020Q2,1,5.50885734627026,,1,-1.44660899733101,0.516216127743853,-2.26791351002276,-2.21969056693497,-0.950702855956099,0
B078HQ48JX,Sensodyne,2020Q3,2,5.49239148307547,0.0246501814298918,2,-1.44660899733101,0.516216127743853,-2.26791351002276,-2.21969056693497,-0.950702855956099,0
B078HQ48JX,Sensodyne,2020Q4,1,5.46818895278485,,1,-1.44660899733101,0.516216127743853,-2.26791351002276,-2.21969056693497,-0.950702855956099,0
B078HQ48JX,Sensodyne,2021Q1,1,4.67133544523091,,1,-1.44660899733101,0.516216127743853,-2.26791351002276,-2.21969056693497,-0.950702855956099,0
B078HQ48JX,Sensodyne,2021Q2,3,4.57835428186577,0.0400891212922797,3,-1.44660899733101,0.516216127743853,-2.26791351002276,-2.21969056693497,-0.950702855956099,0
B078HQ48JX,Sensodyne,2021Q3,2,4.85853146814689,0,2,-1.44660899733101,0.516216127743853,-2.26791351002276,-2.21969056693497,-0.950702855956099,0
B078HQ48JX,Sensodyne,2022Q3,1,5.45503055948937,,1,-1.44660899733101,0.516216127743853,-2.26791351002276,-2.21969056693497,-0.950702855956099,0
B07C1ZQ5ZY,Sensodyne,2019Q2,1,10.517942349273,,1,-1.4946205345071,0.896099008040599,-1.80937447748936,-2.44756155092814,-1.67704485063782,0
B07C1ZQ5ZY,Sensodyne,2019Q3,1,9.7099681685388,,1,-1.4946205345071,0.896099008040599,-1.80937447748936,-2.44756155092814,-1.67704485063782,0
B07C1ZQ5ZY,Sensodyne,2020Q1,3,10.1177275525372,0.419607998110163,1,-1.4946205345071,0.896099008040599,-1.80937447748936,-2.44756155092814,-1.67704485063782,0
B07C1ZQ5ZY,Sensodyne,2020Q2,3,10.4939936062264,0.00544432221646901,2,-1.4946205345071,0.896099008040599,-1.80937447748936,-2.44756155092814,-1.67704485063782,0
B07C1ZQ5ZY,Sensodyne,2020Q3,4,9.90666988570685,0.127447415732203,3,-1.4946205345071,0.896099008040599,-1.80937447748936,-2.44756155092814,-1.67704485063782,0
B07C1ZQ5ZY,Sensodyne,2020Q4,5,10.0225206218021,0.349894297542689,4,-1.4946205345071,0.896099008040599,-1.80937447748936,-2.44756155092814,-1.67704485063782,0
