rep,rhoA,dropA,negA,helloA,colgA,sameA,rhoB,dropB,negB,helloB,colgB
148,0.6,6.4,0.7,6.492,0.45,0,0.36,3.1,1.8,4.511,0.346
149,0.54,5.7,1.3,4.15,0.324,1,0.41,4,1.7,4.846,0.286
150,0.68,9.2,0.3,5.641,0.348,0,0.48,5.3,1.1,3.523,0.274
151,0.52,5.1,1.2,7.412,0.517,0,0.39,4,1.7,4.924,0.413
152,0.49,4.4,1.5,5.102,0.349,0,0.47,4.8,1.4,5.752,0.398
153,0.3,2,2,5.102,0.407,0,0.22,1.2,3.3,4.99,0.349
154,0.43,3.7,1.7,5.264,0.558,0,0.15,0.6,5.8,3.126,0.275
155,0.55,5.9,0.9,5.675,0.356,0,0.51,6,1.2,5.911,0.47
156,0.49,4.1,1.3,5.694,0.374,0,0.3,2.3,2.2,3.365,0.284
157,0.44,3.6,1.6,6.634,0.351,0,0.28,2.1,2.3,3.751,0.385
158,0.52,4.8,0.9,4.062,0.279,1,0.49,7,1.1,6.633,0.437
159,0.57,5.5,0.5,7.388,0.579,0,0.48,4.9,1.1,5.605,0.477
160,0.55,5.8,0.6,7.11,0.479,0,0.42,4.6,1.5,5.379,0.498
161,0.58,5.9,0.6,6.707,0.454,0,0.29,1.8,2.3,3.935,0.307
162,0.41,3.2,1.6,6.681,0.521,1,0.53,7.3,1.1,7.63,0.531
163,0.47,4.1,1.5,5.135,0.55,0,0.35,3.4,1.9,4.548,0.259
164,0.6,6.8,0.4,5.093,0.427,0,0.25,1.5,3.4,4.88,0.299
165,0.45,3.9,1.4,4.973,0.325,0,0.53,7.5,0.9,9.023,0.588
166,0.48,4.3,1.7,8.851,0.52,0,0.35,3.7,1.9,6.551,0.554
167,0.5,4.5,1.3,4.816,0.27,0,0.55,6.2,0.5,4.465,0.364
168,0.54,5.3,0.5,7.535,0.403,0,0.37,2.9,1.7,5.197,0.399
169,0.47,4.1,1.4,6.239,0.445,0,0.5,5.7,1.1,6.889,0.496
170,0.44,3.8,1.4,7.131,0.32,0,0.32,2.8,2,6.71,0.512
171,0.44,3.7,1.5,4.255,0.435,0,0.47,5.5,1.3,6.907,0.467
172,0.5,4.6,1.2,5.234,0.282,0,0.53,6.8,1.1,9.052,0.779
173,0.47,4.2,1.6,7.387,0.567,0,0.34,2.8,2,6.64,0.352
174,0.51,4.7,1.1,7.042,0.418,1,0.5,5.5,1,5.636,0.352
175,0.53,5,1,5.642,0.321,0,0.51,6,1.1,7.625,0.359
176,0.48,4.3,1.1,4.403,0.461,0,0.21,1.1,3.4,3.615,0.328
177,0.6,6.3,0.3,9.849,0.415,0,0.24,1.4,2.8,4.358,0.361
178,0.54,4.9,1.1,5.865,0.399,0,0.56,6.4,0.6,4.701,0.473
179,0.58,6,0.6,6.774,0.281,1,0.37,3.2,1.7,6.504,0.618
180,0.67,7.5,0,6.36,0.373,0,0.29,2.2,2.1,4.465,0.394
181,0.56,5.9,0.7,9.295,0.57,0,0.42,4,1.6,6.057,0.377
182,0.51,4.7,1.1,5.195,0.446,0,0.57,7.6,0.7,6.494,0.374
183,0.47,4.2,1.5,5.576,0.312,1,0.23,1.3,3,3.1,0.27
184,0.43,3.7,1.5,6.375,0.523,0,0.41,3.7,1.7,5.236,0.452
185,0.39,3.3,1.8,6.172,0.724,0,0.38,3.7,1.8,4.672,0.389
186,0.46,3.9,1.5,5.905,0.418,0,0.39,3.3,1.7,6.079,0.522
187,0.44,3.8,1.5,7.109,0.501,0,0.48,5.5,1.3,6.325,0.386
188,0.4,2.9,1.7,5.428,0.505,0,0.52,6,1.1,7.242,0.751
189,0.61,6.9,0.2,4.634,0.439,0,0.26,1.6,2.7,4.31,0.359
190,0.6,6.5,0.2,7.408,0.419,0,0.44,4.6,1.5,5.027,0.285
191,0.55,5.4,0.8,6.785,0.543,0,0.58,6.6,0.4,4.547,0.306
192,0.6,6.6,0.3,4.881,0.315,0,0.2,1.1,3.4,4.023,0.367
193,0.5,4.6,1,7.321,0.456,0,0.37,3.3,1.8,5.773,0.52
194,0.56,5.6,0.5,3.293,0.366,1,0.37,3.8,1.9,4.876,0.311
195,0.62,6.6,0.3,5.291,0.17,0,0.31,2.4,2.1,4.553,0.349
196,0.48,4.7,1.3,7.111,0.511,1,0.34,3,2,6.153,0.429
197,0.56,5.6,0.7,8.336,0.443,0,0.45,4.4,1.4,9.796,0.434
198,0.52,5,0.9,3.128,0.397,0,0.3,2.4,2.5,6.446,0.378
199,0.6,6.4,0.5,5.847,0.391,1,0.45,4.8,1.4,8.256,0.497
200,0.66,7.6,0.3,6.355,0.323,1,0.41,3.5,1.7,4.799,0.423
